Period,Open,High,Low,Close
2017-02-01,19923.810000,19967.730000,19845.990000,19890.940000
2017-01-31,19913.160000,19918.170000,19784.770000,19864.090000
2017-01-30,20028.620000,20028.620000,19870.390000,19971.130000
2017-01-27,20103.360000,20115.970000,20072.640000,20093.780000
2017-01-26,20076.250000,20125.580000,20067.530000,20100.910000
2017-01-25,19994.480000,20082.000000,19994.480000,20068.510000
2017-01-24,19794.680000,19949.240000,19786.710000,19912.710000
2017-01-23,19794.790000,19833.980000,19732.360000,19799.850000
2017-01-20,19795.060000,19843.940000,19759.140000,19827.250000
2017-01-19,19813.550000,19824.140000,19677.940000,19732.400000
2017-01-18,19822.730000,19828.200000,19739.000000,19804.720000
2017-01-17,19848.820000,19882.990000,19775.350000,19826.770000
2017-01-13,19912.540000,19952.030000,19849.380000,19885.730000
2017-01-12,19926.210000,19929.290000,19770.470000,19891.000000
2017-01-11,19887.380000,19973.420000,19833.160000,19954.280000
2017-01-10,19876.350000,19957.120000,19836.030000,19855.530000
2017-01-09,19931.410000,19943.780000,19887.380000,19887.380000
2017-01-06,19906.960000,19999.630000,19834.080000,19963.800000
2017-01-05,19924.560000,19948.600000,19811.120000,19899.290000
2017-01-04,19890.940000,19956.140000,19878.830000,19942.160000
2017-01-03,19872.860000,19938.530000,19775.930000,19881.760000
2016-12-30,19833.170000,19852.550000,19718.670000,19762.600000
2016-12-29,19835.460000,19878.440000,19788.940000,19819.780000
2016-12-28,19964.310000,19981.110000,19827.310000,19833.680000
2016-12-27,19943.460000,19980.240000,19939.800000,19945.040000
2016-12-23,19908.610000,19934.150000,19899.060000,19933.810000
2016-12-22,19922.680000,19933.830000,19882.190000,19918.880000
2016-12-21,19968.970000,19986.560000,19941.960000,19941.960000
2016-12-20,19920.590000,19987.630000,19920.420000,19974.620000
2016-12-19,19836.660000,19917.780000,19832.950000,19883.060000
2016-12-16,19909.010000,19923.170000,19821.000000,19843.410000
2016-12-15,19811.500000,19951.290000,19811.500000,19852.240000
2016-12-14,19876.130000,19966.430000,19748.670000,19792.530000
2016-12-13,19852.210000,19953.750000,19846.450000,19911.210000
2016-12-12,19770.200000,19824.590000,19747.740000,19796.430000
2016-12-09,19631.350000,19757.740000,19623.190000,19756.850000
2016-12-08,19559.940000,19664.970000,19527.830000,19614.810000
2016-12-07,19241.990000,19558.420000,19229.830000,19549.620000
2016-12-06,19219.910000,19255.890000,19184.740000,19251.780000
2016-12-05,19244.350000,19274.850000,19186.730000,19216.240000
2016-12-02,19161.250000,19196.140000,19141.180000,19170.420000
2016-12-01,19149.200000,19214.300000,19138.790000,19191.930000
2016-11-30,19135.640000,19225.290000,19123.380000,19123.580000
2016-11-29,19064.070000,19144.400000,19062.220000,19121.600000
2016-11-28,19122.140000,19138.720000,19072.250000,19097.900000
2016-11-25,19093.720000,19152.140000,19093.720000,19152.140000
2016-11-23,19015.520000,19083.760000,19000.380000,19083.180000
2016-11-22,18970.390000,19043.900000,18962.820000,19023.870000
2016-11-21,18898.680000,18960.760000,18883.100000,18956.690000
2016-11-18,18905.330000,18915.740000,18853.830000,18867.930000
2016-11-17,18866.220000,18904.030000,18845.270000,18903.820000
2016-11-16,18909.850000,18909.850000,18825.890000,18868.140000
2016-11-15,18858.210000,18925.260000,18806.060000,18923.060000
2016-11-14,18876.770000,18934.050000,18815.750000,18868.690000
2016-11-11,18781.650000,18855.780000,18736.960000,18847.660000
2016-11-10,18603.140000,18873.660000,18603.140000,18807.880000
2016-11-09,18317.260000,18650.060000,18252.550000,18589.690000
2016-11-08,18251.380000,18400.500000,18200.750000,18332.740000
2016-11-07,17994.640000,18263.300000,17994.640000,18259.600000
2016-11-04,17928.350000,17986.760000,17883.560000,17888.280000
2016-11-03,17978.750000,18006.960000,17904.070000,17930.670000
2016-11-02,18017.720000,18044.150000,17931.890000,17959.640000
2016-11-01,18158.240000,18177.010000,17940.840000,18037.100000
2016-10-31,18176.600000,18193.680000,18130.580000,18142.420000
2016-10-28,18193.790000,18257.060000,18094.970000,18161.190000
2016-10-27,18234.810000,18253.200000,18149.200000,18169.680000
2016-10-26,18103.800000,18236.040000,18062.300000,18199.330000
2016-10-25,18206.520000,18241.690000,18151.700000,18169.270000
2016-10-24,18197.140000,18275.040000,18191.180000,18223.030000
2016-10-21,18152.630000,18168.760000,18049.770000,18145.710000
2016-10-20,18161.870000,18249.050000,18129.070000,18162.350000
2016-10-19,18178.210000,18252.200000,18169.250000,18202.620000
