Period,Open,High,Low,Close
2017-01-30,7184.490000,7184.700000,7105.670000,7118.480000
2017-01-27,7161.490000,7184.730000,7150.760000,7184.490000
2017-01-26,7164.430000,7184.750000,7151.340000,7161.490000
2017-01-25,7150.340000,7205.680000,7150.340000,7164.430000
2017-01-24,7151.180000,7190.150000,7144.440000,7150.340000
2017-01-23,7198.440000,7198.440000,7131.460000,7151.180000
2017-01-20,7208.440000,7221.010000,7193.730000,7198.440000
2017-01-19,7247.610000,7249.630000,7191.670000,7208.440000
2017-01-18,7220.380000,7260.470000,7218.410000,7247.610000
2017-01-17,7327.130000,7329.270000,7220.380000,7220.380000
2017-01-16,7337.810000,7354.140000,7320.470000,7327.130000
2017-01-13,7292.370000,7338.490000,7292.370000,7337.810000
2017-01-12,7290.490000,7302.340000,7263.420000,7292.370000
2017-01-11,7275.470000,7328.510000,7257.150000,7290.490000
2017-01-10,7237.770000,7284.810000,7237.290000,7275.470000
2017-01-09,7210.050000,7243.760000,7207.400000,7237.770000
2017-01-06,7195.310000,7210.050000,7180.640000,7210.050000
2017-01-05,7189.740000,7211.960000,7172.770000,7195.310000
2017-01-04,7177.890000,7189.740000,7168.770000,7189.740000
2017-01-03,7142.830000,7205.450000,7142.830000,7177.890000
2016-12-30,7120.260000,7142.830000,7087.540000,7142.830000
2016-12-29,7106.080000,7120.260000,7074.470000,7120.260000
2016-12-28,7068.170000,7109.370000,7060.850000,7106.080000
2016-12-23,7063.680000,7071.110000,7054.640000,7068.170000
2016-12-22,7041.420000,7063.680000,7020.130000,7063.680000
2016-12-21,7043.960000,7056.980000,7025.680000,7041.420000
2016-12-20,7017.160000,7045.220000,6992.620000,7043.960000
2016-12-19,7011.640000,7025.740000,6986.440000,7017.160000
2016-12-16,6999.010000,7038.430000,6990.350000,7011.640000
2016-12-15,6949.190000,7010.480000,6925.880000,6999.010000
2016-12-14,6968.570000,6970.520000,6941.950000,6949.190000
2016-12-13,6890.420000,6977.990000,6877.520000,6968.570000
2016-12-12,6954.210000,6976.780000,6875.430000,6890.420000
2016-12-09,6931.550000,6962.250000,6929.460000,6954.210000
2016-12-08,6902.230000,6937.510000,6892.170000,6931.550000
2016-12-07,6779.840000,6902.230000,6779.840000,6902.230000
2016-12-06,6746.830000,6785.320000,6723.050000,6779.840000
2016-12-05,6730.720000,6799.500000,6697.650000,6746.830000
2016-12-02,6752.930000,6752.930000,6678.740000,6730.720000
2016-12-01,6783.790000,6789.300000,6688.410000,6752.930000
2016-11-30,6772.000000,6845.740000,6765.230000,6783.790000
2016-11-29,6799.470000,6800.910000,6729.360000,6772.000000
2016-11-28,6840.750000,6840.960000,6769.770000,6799.470000
2016-11-25,6829.200000,6852.140000,6818.120000,6840.750000
2016-11-24,6817.710000,6831.230000,6790.690000,6829.200000
2016-11-23,6819.720000,6880.740000,6779.450000,6817.710000
2016-11-22,6777.960000,6851.370000,6777.960000,6819.720000
2016-11-21,6775.770000,6820.900000,6754.160000,6777.960000
2016-11-18,6794.710000,6811.620000,6740.340000,6775.770000
2016-11-17,6749.720000,6798.750000,6745.080000,6794.710000
2016-11-16,6792.740000,6810.530000,6735.690000,6749.720000
2016-11-15,6753.180000,6820.520000,6753.180000,6792.740000
2016-11-14,6730.430000,6814.190000,6730.430000,6753.180000
2016-11-11,6827.980000,6849.040000,6709.720000,6730.430000
2016-11-10,6911.840000,6997.250000,6799.050000,6827.980000
2016-11-09,6843.130000,6911.840000,6696.330000,6911.840000
2016-11-08,6806.900000,6849.310000,6795.060000,6843.130000
2016-11-07,6693.260000,6806.900000,6693.260000,6806.900000
2016-11-04,6790.510000,6790.520000,6676.560000,6693.260000
2016-11-03,6845.420000,6873.210000,6790.510000,6790.510000
2016-11-02,6917.140000,6917.140000,6845.420000,6845.420000
2016-11-01,6954.220000,6993.790000,6903.610000,6917.140000
2016-10-31,6996.260000,6996.260000,6945.290000,6954.220000
2016-10-28,6986.570000,7006.430000,6927.210000,6996.260000
2016-10-27,6958.090000,7003.930000,6924.050000,6986.570000
2016-10-26,7017.640000,7017.640000,6917.770000,6958.090000
2016-10-25,6986.400000,7067.230000,6985.920000,7017.640000
2016-10-24,7020.470000,7067.340000,6983.400000,6986.400000
2016-10-21,7026.900000,7058.390000,7011.090000,7020.470000
2016-10-20,7021.920000,7047.550000,6998.840000,7026.900000
2016-10-19,7000.060000,7031.200000,6975.920000,7021.920000
2016-10-18,6947.550000,7033.020000,6946.390000,7000.060000
2016-10-17,7013.550000,7013.550000,6937.430000,6947.550000
2016-10-14,6977.740000,7055.180000,6977.740000,7013.550000
2016-10-13,7024.010000,7024.010000,6930.040000,6977.740000
2016-10-12,7070.880000,7079.420000,7015.760000,7024.010000
2016-10-11,7097.500000,7129.830000,7061.360000,7070.880000
2016-10-10,7044.390000,7104.490000,7024.080000,7097.500000
2016-10-07,6999.960000,7079.250000,6999.960000,7044.390000
2016-10-06,7033.250000,7049.340000,6999.960000,6999.960000
2016-10-05,7074.340000,7076.710000,7024.130000,7033.250000
2016-10-04,6983.520000,7121.930000,6983.520000,7074.340000
2016-10-03,6899.330000,6996.430000,6898.090000,6983.520000
2016-09-30,6919.420000,6919.420000,6809.510000,6899.330000
2016-09-29,6849.380000,6941.090000,6849.380000,6919.420000
2016-09-28,6807.670000,6878.210000,6807.670000,6849.380000
2016-09-27,6818.040000,6865.450000,6768.860000,6807.670000
2016-09-26,6909.430000,6909.630000,6806.470000,6818.040000
2016-09-23,6911.400000,6920.230000,6882.620000,6909.430000
2016-09-22,6834.770000,6937.330000,6834.770000,6911.400000
2016-09-21,6830.790000,6879.810000,6830.470000,6834.770000
2016-09-20,6813.550000,6869.100000,6798.020000,6830.790000
2016-09-19,6710.280000,6813.950000,6710.280000,6813.550000
2016-09-16,6730.300000,6746.290000,6692.730000,6710.280000
2016-09-15,6673.310000,6736.840000,6654.820000,6730.300000
2016-09-14,6665.630000,6720.290000,6665.630000,6673.310000
2016-09-13,6700.900000,6724.740000,6665.630000,6665.630000
2016-09-12,6776.950000,6776.950000,6654.480000,6700.900000
2016-09-09,6858.700000,6862.380000,6762.300000,6776.950000
2016-09-08,6846.580000,6889.640000,6819.820000,6858.700000
2016-09-07,6826.050000,6856.120000,6814.870000,6846.580000
2016-09-06,6879.420000,6887.920000,6818.960000,6826.050000
2016-09-05,6894.600000,6910.660000,6867.080000,6879.420000
2016-09-02,6745.970000,6928.250000,6745.970000,6894.600000
2016-09-01,6781.510000,6826.220000,6723.210000,6745.970000
2016-08-31,6820.790000,6832.890000,6779.540000,6781.510000
2016-08-30,6838.050000,6851.830000,6808.070000,6820.790000
2016-08-26,6816.900000,6857.290000,6798.820000,6838.050000
2016-08-25,6835.780000,6836.220000,6779.150000,6816.900000
2016-08-24,6868.510000,6868.510000,6825.220000,6835.780000
2016-08-23,6828.540000,6885.390000,6828.540000,6868.510000
2016-08-22,6858.950000,6884.610000,6812.070000,6828.540000
2016-08-19,6868.960000,6871.480000,6840.940000,6858.950000
2016-08-18,6859.150000,6893.350000,6850.610000,6868.960000
2016-08-17,6893.920000,6920.760000,6849.900000,6859.150000
2016-08-16,6941.190000,6941.190000,6893.920000,6893.920000
2016-08-15,6916.020000,6955.340000,6907.170000,6941.190000
2016-08-12,6914.710000,6931.040000,6896.040000,6916.020000
2016-08-11,6866.420000,6914.710000,6812.730000,6914.710000
2016-08-10,6851.300000,6866.420000,6820.040000,6866.420000
2016-08-09,6809.130000,6863.100000,6807.760000,6851.300000
2016-08-08,6793.470000,6829.470000,6781.470000,6809.130000
2016-08-05,6740.160000,6802.410000,6738.570000,6793.470000
2016-08-04,6634.400000,6749.670000,6615.830000,6740.160000
2016-08-03,6645.400000,6673.630000,6621.420000,6634.400000
2016-08-02,6693.950000,6694.140000,6630.760000,6645.400000
2016-08-01,6724.430000,6769.410000,6678.450000,6693.950000
2016-07-29,6721.060000,6740.470000,6691.130000,6724.430000
2016-07-28,6750.430000,6762.720000,6718.900000,6721.060000
2016-07-27,6724.030000,6780.050000,6723.710000,6750.430000
2016-07-26,6710.130000,6744.800000,6708.580000,6724.030000
2016-07-25,6730.480000,6756.130000,6691.030000,6710.130000
2016-07-22,6699.890000,6735.940000,6663.720000,6730.480000
2016-07-21,6728.990000,6732.070000,6694.520000,6699.890000
